tweet_id,create_time,screen_name,username,text,matched,positive
978855232359882753,Wed Mar 28 04:44:08 +0000 2018,pennyluaaa,"[u'@Vevo', u'@5SoS']","RT @Vevo The @5SoS world is turned upside down in ""Want You Back"" the first release in 2 years by the Aussie poppunk band ",True
978855221916061702,Wed Mar 28 04:44:05 +0000 2018,Amanda_C_Louise,[],Band of Outsiders Founder Launches New Venture  ,True
978855088134524929,Wed Mar 28 04:43:33 +0000 2018,m7KWDmlDYxpuEah,[u'@RealisticFilm'],RT @RealisticFilm Sunset Mind Boom  Evan Rhodes #abstractart #motionGraphics #design #digitalart #nycart #scifiart #Graphics #scifi #cine,True
978854829920522240,Wed Mar 28 04:42:32 +0000 2018,susie11281231,"[u'@StevenTylerPics', u'@IamStevenT', u'@IamStevenT']",@StevenTylerPics @IamStevenT Absolutely love you @IamStevenT I spent my teenage years seeing you in concert and now ,True
978854774736084992,Wed Mar 28 04:42:19 +0000 2018,hear_my_voice2,"[u'@VP', u'@DougBurgum', u'@POTUS']",@VP @DougBurgum @POTUS Here2019s what Republicans are NOT telling you about their #TaxScamBill 2014band why this lifelong ,True
978854686471094272,Wed Mar 28 04:41:58 +0000 2018,breallen_,[u'@chrisfarren'],I wonder if @chrisfarren has any pull with Chris Carrabba due to them both being named Chris duh to get me ticke ,True
978854678313218048,Wed Mar 28 04:41:56 +0000 2018,FCBC_NYC,"[u'@akspov', u'@FCBC_NYC', u'@NMACDST', u'@kierrasheard']",RT @akspov Live at 5 @FCBC_NYC announcements including events for #HolyWeek and @NMACDST concert with @kierrasheard 2764fe0f,True
978854645362843650,Wed Mar 28 04:41:48 +0000 2018,wzqrfm,[],Big Band Remote Broadcasts Piano Sonata No 14 in CSharp Minor Op 27 No 2 ''Moonlight Sonata'' I Adagio sos ,True
978854355897126912,Wed Mar 28 04:40:39 +0000 2018,seungminq,"[u'@Jeff__Benjamin', u'@Stray_Kids', u'@Billboard']",RT @Jeff__Benjamin Congratulations to @Stray_Kids for making their debut on @Billboard's Social 50 chart this week at No 45 Very promisi,True
978854170064285696,Wed Mar 28 04:39:55 +0000 2018,sukianemone,"[u'@nattyover', u'@NautilusMag']",RT @nattyover For the past five years @NautilusMag has asked scientists what they would be if they weren2019t a scientist The most common a,True
978854132210634756,Wed Mar 28 04:39:46 +0000 2018,ambisquidy,"[u'@Jeff__Benjamin', u'@Stray_Kids', u'@Billboard']",RT @Jeff__Benjamin Congratulations to @Stray_Kids for making their debut on @Billboard's Social 50 chart this week at No 45 Very promisi,True
978853738021519366,Wed Mar 28 04:38:12 +0000 2018,Dejay7391,"[u'@TheOnlyLoYouKno', u'@AnikaNoniRose', u'@AnikaNoniRose']",@TheOnlyLoYouKno @AnikaNoniRose And don't for get a Soulful Singer that finally had enough #DreamGirls @AnikaNoniRose,True
978853661114806272,Wed Mar 28 04:37:53 +0000 2018,cherrypie2096,"[u'@Vevo', u'@5SoS']","RT @Vevo The @5SoS world is turned upside down in ""Want You Back"" the first release in 2 years by the Aussie poppunk band ",True
978853541585522689,Wed Mar 28 04:37:25 +0000 2018,NN4NC,[u'@wa1gov'],"RT @wa1gov US #HamRadio Band CondX
160m Wide Open
80m Wide Open
 ",True
978853529803722752,Wed Mar 28 04:37:22 +0000 2018,masjidma,[],Palestinian singer Rim Banna dies at 51 after battle with cancer  #51 #Battle #Cancer #categories#,True
978853497759322117,Wed Mar 28 04:37:14 +0000 2018,Chris_Marolda,[],Chris Marolda has a show on 03/29/2018 at 0800 PM @ Taprock Beer Bar   in Farmington CT  #concert,True
978853409381117952,Wed Mar 28 04:36:53 +0000 2018,_sunshinechild,[u'@heartscamDBMK'],@heartscamDBMK I had listened to SL a couple times and dmbk as well before the concert but I was absolutely blown a ,True
978853378750107649,Wed Mar 28 04:36:46 +0000 2018,Anthem_Singer,[u'@Kasparov63'],RT @Kasparov63 Congratulations to Fabiano Caruana who just became the first American challenger for the world chess championship since Fi,True
978853271652757512,Wed Mar 28 04:36:20 +0000 2018,bIushan,"[u'@Jeff__Benjamin', u'@Stray_Kids', u'@Billboard']",RT @Jeff__Benjamin Congratulations to @Stray_Kids for making their debut on @Billboard's Social 50 chart this week at No 45 Very promisi,True
978853159648092162,Wed Mar 28 04:35:54 +0000 2018,33Maherasad,[u'@laphamsquart'],RT @laphamsquart History2019s greatest music venues  ,True
978853143395078145,Wed Mar 28 04:35:50 +0000 2018,hyunjsung,"[u'@Jeff__Benjamin', u'@Stray_Kids', u'@Billboard']",RT @Jeff__Benjamin Congratulations to @Stray_Kids for making their debut on @Billboard's Social 50 chart this week at No 45 Very promisi,True
978853122281017344,Wed Mar 28 04:35:45 +0000 2018,MikaelMustango,"[u'@jp_siira', u'@scorpions']","RT @jp_siira Released 3 27 1984 @scorpions ""Love at First Sting"" 9th Lp 3x Platinum A stellar effort by the great #German #HeavyMetal ban",True
978853097874362368,Wed Mar 28 04:35:39 +0000 2018,MyEventGuru,[],"New event by 'Tixbag' 



On The Run II Beyonce  JayZ Concert 2018  TixB
JayZ and B ",True
978853028404039681,Wed Mar 28 04:35:22 +0000 2018,sophsun_,"[u'@Vevo', u'@5SoS']","RT @Vevo The @5SoS world is turned upside down in ""Want You Back"" the first release in 2 years by the Aussie poppunk band ",True
978853009068298240,Wed Mar 28 04:35:18 +0000 2018,transboyhell,[],there was an of Montreal concert across the street from where i live and i was FORCED to look at of Montreal fans,True
978852925282938880,Wed Mar 28 04:34:58 +0000 2018,sy_hns,"[u'@Vevo', u'@5SoS']","RT @Vevo The @5SoS world is turned upside down in ""Want You Back"" the first release in 2 years by the Aussie poppunk band ",True
978852804520488960,Wed Mar 28 04:34:29 +0000 2018,xxbrzozia,[u'@bangtanism89'],"RT @bangtanism89 Yoongi *got caught up in a dating rumor*

ARMYs When is the next album? OMG this is so funny Yoongi is the first to hav",True
